
No. of maximal cliques: 37322355
Number of nodes: 1696415
No. of elements in degeneracy ordering: 1696415
Time taken: 31717463 milliseconds
Clique size distribution:
Clique size: 67, Frequency: 4
Clique size: 65, Frequency: 49
Clique size: 66, Frequency: 22
Clique size: 64, Frequency: 84
Clique size: 62, Frequency: 242
Clique size: 61, Frequency: 283
Clique size: 63, Frequency: 146
Clique size: 60, Frequency: 405
Clique size: 55, Frequency: 2042
Clique size: 56, Frequency: 1080
Clique size: 57, Frequency: 546
Clique size: 58, Frequency: 449
Clique size: 59, Frequency: 447
Clique size: 51, Frequency: 25637
Clique size: 52, Frequency: 17707
Clique size: 53, Frequency: 9514
Clique size: 54, Frequency: 3737
Clique size: 48, Frequency: 62437
Clique size: 49, Frequency: 39822
Clique size: 46, Frequency: 158352
Clique size: 47, Frequency: 99522
Clique size: 45, Frequency: 222461
Clique size: 44, Frequency: 275995
Clique size: 43, Frequency: 321829
Clique size: 42, Frequency: 367879
Clique size: 41, Frequency: 420796
Clique size: 39, Frequency: 520239
Clique size: 38, Frequency: 583922
Clique size: 40, Frequency: 474301
Clique size: 37, Frequency: 663650
Clique size: 36, Frequency: 744634
Clique size: 35, Frequency: 809485
Clique size: 33, Frequency: 946717
Clique size: 32, Frequency: 1017560
Clique size: 34, Frequency: 878552
Clique size: 31, Frequency: 1055653
Clique size: 29, Frequency: 999860
Clique size: 30, Frequency: 1034106
Clique size: 28, Frequency: 955212
Clique size: 27, Frequency: 892719
Clique size: 26, Frequency: 818353
Clique size: 25, Frequency: 753633
Clique size: 24, Frequency: 706753
Clique size: 23, Frequency: 673924
Clique size: 22, Frequency: 640890
Clique size: 21, Frequency: 611976
Clique size: 20, Frequency: 600192
Clique size: 19, Frequency: 639413
Clique size: 18, Frequency: 729601
Clique size: 17, Frequency: 839330
Clique size: 16, Frequency: 939987
Clique size: 15, Frequency: 980831
Clique size: 14, Frequency: 945194
Clique size: 13, Frequency: 877282
Clique size: 12, Frequency: 798073
Clique size: 11, Frequency: 728098
Clique size: 9, Frequency: 608937
Clique size: 10, Frequency: 665661
Clique size: 8, Frequency: 588889
Clique size: 7, Frequency: 598284
Clique size: 6, Frequency: 684873
Clique size: 5, Frequency: 939336
Clique size: 4, Frequency: 1823321
Clique size: 50, Frequency: 30011
Clique size: 3, Frequency: 3171609
Clique size: 2, Frequency: 2319807
Maximum clique size: 67
